Name,Address,lon,lat,Point of Contact,Comment
St John Valley Pharmacy,"182 Market St. Fort Kent, ME 04743",-68.57950768,47.24153129,Charles Ouellette couellette@sjvrx.com 207-316-8811,
City Drug Store,159 Academy St Presque Isle ME 04769,-67.99722047,46.67699862,"Matt Talbot
admin@citydrugrx.com
207-764-4424",
Hebert’s Rexall,"31 Main Street Van Buren, ME 04785",-67.93217878,47.1550025,"John Hebert
john@hebertsrx.com
207-551-4997",
Fairfield Pharmacy ,66 Western Ave Fairfield ME 04937,-69.6072832,44.59326505,"Kaylie Conti
kaylieconti@outlook.com
207-453-4411",Already doing rapid testing
Bangor Drug,"711 Broadway, Suite 1, Bangor, ME 04401",-68.78012761,44.82557299,"Christine Cattan
ccattan@bangordrug.com
207-922-3849 ext 401",
Western Maine Pharmacy,238 Main Street Kingfield ME 04947,-70.15396455,44.95849438,"Audrey Parks
audrey@westernmainepharmacy.com
207-265-802","No testing options in nearby, they get 5-10 calls a day"
The Medicine Shoppe,373 Sabattus Street Lewiston ME 04240,-70.19637082,44.10097578,"Lana Hoang
apothecaryrx@maine.rr.com
207-783-3539
207-838-6371",
Bedard Pharmacy,"61 College Street Lewiston, ME 04240",-70.21186755,44.10014212,"Chris Nadeau
207-786-0138 ext. 3009
Chris.Nadeau@mybedard.com",
Oakland Pharmacy,"43 Main Street Oakland, ME 04963",-69.71705214,44.5483958,"Kaylie Conti
kaylieconti@outlook.com
207-453-4411","Already doing
rapid testing"
Kennebec Pharmacy,"11 Medical Center Parkway, Suite A Augusta, ME 04330",-69.7846822,44.3628321,"Steve Royer
sroyer@kpprx.com
207-373-3300",
"Kennebec
Pharmacy,
Rockport","839 Commercial Street, Rockport, ME 04856",-69.08883546,44.14685139,"Steve Royer
sroyer@kpprx.com
207-373-3300",
Nathan’s Pharmacy 185 Townsend ,185 Townsend Ave Suite C Boothbay Harbor ME 04538,-69.62535308,43.86139096,"Andrew Robertson
andrew@nathanspharmacy.com
207-315-2280",
"Community
Pharmacy, Gorham","365 Main Street Gorham, 04038",-70.42098239,43.68661804,"Amelia Arnold
aarnold@communityrx.com
207-621-0698 ext 228","Also have
locations in
Hermon, Corinth,
Bucksport, Blue
Hill, Randolph,
Waldoboro,
Cornish, and Saco.
Would have to
hire extra staff,
but might be
willing if the need
is there"
