Color,Zip Code,Color (copy),County,Town,Latitude (generated),Longitude (generated),Vaccination Rate 9-17
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04976,Yellow,Somerset,Skowhegan,44.7988,-69.6697,0.781933439
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04938,Yellow,Franklin,Farmington,44.6582,-70.1035,0.750711961
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04901,Yellow,Kennebec,Waterville,44.5553,-69.5692,0.858487678
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04730,Yellow,Aroostook,Houlton,46.1407,-67.9086,0.707215679
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04473,Yellow,Penobscot,Orono,44.8866,-68.7172,0.610293454
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04468,Yellow,Penobscot,Old Town,45.0206,-68.7273,0.769066937
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04401,Yellow,Penobscot,Bangor,44.8474,-68.846,0.904945079
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04345,Yellow,Kennebec,Gardiner,44.198,-69.7839,0.818495747
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04330,Yellow,Kennebec,Augusta,44.3636,-69.7374,0.858205138
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04280,Yellow,Androscoggin,Sabattus,44.1215,-70.0615,0.707679009
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04240,Yellow,Androscoggin,Lewiston,44.0927,-70.1687,0.795648775
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04210,Yellow,Androscoggin,Auburn,44.0844,-70.2496,0.853385061
">= 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04005,Yellow,York,Biddeford,43.4981,-70.5009,0.886955811
"< 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",04027,Red,York,Lebanon,43.4029,-70.9114,0.564353409
"< 60% of residents vaccinated and >= 2,000 residents remaining unvaccinated",03901,Red,York,Berwick,43.3003,-70.8434,0.574279656
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04988,Blue,Waldo,Unity,44.5958,-69.3597,0.598073555
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04986,Blue,Waldo,Thorndike,44.5575,-69.2227,0.588235294
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04985,Blue,Somerset,West Forks,45.3898,-69.8604,0.582887701
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04958,Blue,Somerset,North Anson,44.9042,-69.9273,0.599596571
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04936,Blue,Franklin,Eustis,45.3548,-70.6112,0.584158416
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04780,Blue,Aroostook,Smyrna Mills,46.1495,-68.2707,0.502475248
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04777,Blue,Penobscot,Stacyville,45.8532,-68.5135,0.565217391
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04776,Blue,Aroostook,Sherman,45.8343,-68.2831,0.578503688
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04766,Blue,Aroostook,Perham,46.8815,-68.2393,0.569160998
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04750,Blue,Aroostook,Limestone,46.9654,-67.857,0.599424815
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04667,Blue,Washington,Perry,44.9853,-67.1077,0.562310030
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04655,Blue,Washington,Machiasport,44.6671,-67.3947,0.596313364
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04635,Blue,Hancock,Frenchboro,44.112,-68.3582,0.593220339
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04626,Blue,Washington,Cutler,44.6883,-67.2153,0.474025974
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04625,Blue,Hancock,Cranberry Isles,44.2486,-68.2637,0.448529412
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04497,Blue,Aroostook,Wytopitlock,45.778,-68.0711,0.507894737
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04495,Blue,Penobscot,Winn,45.4555,-68.3293,0.560185185
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04492,Blue,Washington,Waite,45.3378,-67.6218,0.58125
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04490,Blue,Washington,Topsfield,45.4412,-67.8067,0.444089457
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04487,Blue,Penobscot,Springfield,45.3942,-68.1006,0.515911283
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04475,Blue,Penobscot,Passadumkeag,45.1752,-68.5945,0.551219512
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04471,Blue,Aroostook,Orient,45.9073,-67.9063,0.527987897
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04451,Blue,Penobscot,Kingman,45.6084,-68.211,0.368715084
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04422,Blue,Penobscot,Charleston,45.0709,-69.0338,0.546242775
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04418,Blue,Penobscot,Greenbush,45.0877,-68.4715,0.549792531
