,Address,County,Municipality,Name of Organization,Public OR Patients Only,Questionable,Scheduling Information,Vaccinates 12+ or 18+,lon,lat
0," 40 Main St, Milbridge, ME 04658",Washington,Milbridge,Door To Door Doctors,Public,Yes,Call 207-847-8020 or emaild2ddoc@gmail.com. Please provide adequate contact information.,N/A,-67.88040924072266,44.53654098510742
1," 43 S Lubec Rd, Lubec, ME 04652, United States",Washington,Lubec,Regional Medical Center at Lubec,Patient Only,yes,"Patients may call Terry Rier at 733-1090, extension 5203.",N/A,-66.9992904663086,44.84599304199219
2,"1 Main Rd. North, Hampden",Cumberland,Portland,North East Mobile Health Services,Public,Yes,"To schedule an appointment, visit: https://www.nemhs.com/vaccine",N/A,-68.83753204345703,44.74003601074219
3,"1 Main Rd. North, Hampden",Somerset,Jackman,Northeast Mobile Health Services - Jackman Forest Hills High School,Public,Yes,To make an appointment go to Northeast mobile health services website,N/A,-68.83753204345703,44.74003601074219
4,"10 Carter St, Eagle Lake, ME 04739, United States",Aroostook,Eagle Lake,Fish River Rural Health ELHC,Public,Yes,Call 444-5973 to schedule an appointment.,12+,-68.59500122070312,47.03638458251953
5,"10 Hospital Dr, Bridgton, ME 04009",Cumberland,Bridgton,Bridgton Hospital,Public,Yes,Call 207-520-2917 to make an appointment. More information here.,N/A,-70.71458435058594,44.04623794555664
6,"10 Water St, Waterville, ME 04901, United States",Kennebec,Albion,HealthReach Community Health Centers dba Lovejoy Health Center,Patient Only,Yes,Patients may call 437-9388 to schedule an appointment.,N/A,-69.63006591796875,44.5462646484375
7,"10 Wayman Ln, Bar Harbor, ME 04609, United States",Hancock,"Bar Harbor, Southwest Harbor, Trenton",Mount Desert Island Hospital,Public,No,Visit https://www.mdihospital.org/covid-19-vaccine/,N/A,-68.20196533203125,44.385223388671875
8,"100 Fairgrounds Marketplace, Skowhegan, ME 04976, United States",Somerset,Skowhegan,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-69.72796630859375,44.78087615966797
9,"100 Foden Rd, South Portland, ME 04106, United States",Cumberland,South Portland,Intermed,Patient Only,Yes,By appointment only. Please contact your primary care provider to schedule.,12+,-70.32734680175781,43.63628005981445
10,"100 Mt Auburn Ave, Auburn, ME 04210, United States",Androscoggin,Auburn,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",12+,-70.23828125,44.117740631103516
11,"1012 Union St, Bangor, ME 04401, United States",Penobscot,Bangor,Penobscot Community Health Center,Public,No,Visit pchc.com/vaccines for information.,12+,-68.80890655517578,44.81479263305664
12,"103 India St, Portland, ME 04101, United States",Cumberland,Portland,"Portland Community Free Clinic, 103 India Street",Public,No,Call 874-8982 to schedule an appointment.,N/A,-70.25178527832031,43.66182327270508
13,"103 Texas Ave,, Bangor, ME 04401",Penobscot,Bangor,Bangor Public Health,Public,No,By appointment: Call 207-992-4548 or email vaccines@bangormaine.gov,N/A,-68.80030822753906,44.807220458984375
14,"1036 Post Rd, Wells, ME 04090, United States",York,Wells,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.58572387695312,43.30517578125
15,"104 Main St, Madawaska, ME 04756, United States",Aroostook,Madawaska,Northern Maine Medical Center Retail Pharmacy,N/A,N/A,NMMC's Retail Pharmacy is offering Johnson and Johnson shots for drop-in vaccinations every Wednesday and Friday from 112pm-1pm. Must be 18+.,N/A,-68.34315490722656,47.35528564453125
16,"107 Wells Plaza, Wells, ME 04090, United States",York,Wells,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.58291625976562,43.301963806152344
17,"1073 W Main St, Dover-Foxcroft, ME 04426, United States",Piscataquis,Dover-Foxcroft,Shaws,N/A,N/A,"To schedule an appointment, please visit www.shaws.com/COVID-19. The website includes a link to the pharmacy’s convenient online vaccine scheduler and answers to FAQs. Please do not call the Pharmacy to schedule an appointment and walk-ins are not accepted.",12+,-69.2575454711914,45.18293380737305
18,"109 Portland Rd, Bridgton, ME 04009, United States",Cumberland,Bridgton,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.70289611816406,44.04573059082031
19,"11 Academy Rd, Monmouth, ME 04259",Kennebec,Monmouth,DFD Russell Medical Centers,Patient Only,Yes,By appointment only. Patients will be notified of eligibility to receive the vaccine. Visit https://dfdrussell.org/covid-19-updates/ for information.,N/A,-70.0302734375,44.26463317871094
20,"11 State Rd, Bath, ME 04530, United States",Sagadahoc,Bath,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.8306655883789,43.90682601928711
21,"110 Broadway, Bucksport, ME 04416",Hancock,Bucksport,Bucksport Regional Health Center,Public,No ,"BRHC is offering walk-in clinics on Tuesdays from 7:30 am to 3:30 pm and Thursdays from 10:00 am to 6:00 pm at our Bucksport location, open to anyone 18+.
 
Coastal Health Center patients may call 667-5064 to schedule their vaccination. Visit www.bucksportrhc.com or call 207-469-7371 and press option 6, then option 2, for more information.",18+,-68.78047943115234,44.57620620727539
22,"118 Cony St, Augusta, ME 04330, United States",Kennebec,Augusta,Hannaford,N/A,N/A,"118 Cony Street. Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-69.76423645019531,44.315673828125
23,"118 Moosehead Trail Suite 5, Newport, ME 04953, United States",Penobscot,Newport,Hometown Health Center-Newport,Public,Yes,"Patients may call 368-5189 or 924-5200, choose option 7 to leave a message for scheduling.",N/A,-69.28626251220703,44.83646011352539
24,"119 Bridgton Rd, Fryeburg, ME 04037, United States",Oxford,Fryeburg,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.9638671875,44.019615173339844
25,"119 Northport Ave, FL 1, Belfast ME 04915",Waldo,Belfast,MaineHealth Vaccine Clinic,Public,No,"Call 877-780-7545, or visit https://vaccine.mainehealth.org/. Drop-in appointments are also available this location.",N/A,-68.99632263183594,44.41253662109375
26,"12 Bolduc Ave, Fort Kent, ME 04743, United States",Aroostook,Fort Kent,Fish River Rural Health BAHC,Public,Yes,Call 834-3971 to schedule an appointment.,12+,-68.58968353271484,47.26469039916992
27,"120 Main St, Gorham, ME 04038, United States",Cumberland,Gorham,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.43868255615234,43.68145751953125
28,"123 Main St, Fairfield, ME 04937, United States",Kennebec,Fairfield,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.59696960449219,44.585655212402344
29,"1240 Main St, Oxford, ME 04270, United States",Oxford,Oxford,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",12+,-70.51309204101562,44.172542572021484
30,"127 Marginal Way, Portland, ME 04101, United States",Cumberland,Portland,Walgreens,N/A,N/A,"127 Marginal Way. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.26300048828125,43.66241455078125
31,"130 Shaker Rd, Gray, ME 04039, United States",Cumberland,Gray,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.34342193603516,43.903038024902344
32,"131 Hannaford Dr, Farmington, ME 04938, United States",Franklin,Farmington,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.15132141113281,44.650882720947266
33,"136 Mill St, Princeton, ME 04668, United States",Washington,Princeton,St. Croix Family Health Center,Patient Only,No,Patients may call 207-796-5503 to make an appointment.,N/A,-67.5634765625,45.23038864135742
