,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,STATE,LOCATION,Socioeconomic Status,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,Overall Vulnerability
19411,2021-09-09,23003,36,Aroostook County,ME,57.0,38224,38221.0,64.6,36439,66.5,13716,82.0,96.4,41410.0,61.8,41403.0,70.0,39303.0,71.7,14002.0,83.8,C,12,12,12,12,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19412,2021-09-08,23003,36,Aroostook County,ME,56.9,38176,38173.0,64.5,36396,66.4,13709,82.0,96.4,41362.0,61.7,41355.0,69.9,39260.0,71.6,13999.0,83.7,C,12,12,12,12,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19413,2021-09-07,23003,36,Aroostook County,ME,56.7,38008,38006.0,64.2,36251,66.1,13699,81.9,96.4,41130.0,61.3,41124.0,69.5,39068.0,71.3,13981.0,83.6,C,12,12,12,12,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19414,2021-09-06,23003,36,Aroostook County,ME,56.7,38006,38004.0,64.2,36249,66.1,13699,81.9,96.4,41130.0,61.3,41124.0,69.5,39068.0,71.3,13981.0,83.6,C,12,12,12,12,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19415,2021-09-05,23003,36,Aroostook County,ME,56.7,38005,38003.0,64.2,36248,66.1,13699,81.9,96.4,41130.0,61.3,41124.0,69.5,39068.0,71.3,13981.0,83.6,C,12,12,12,12,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19416,2021-09-04,23003,35,Aroostook County,ME,56.7,38005,38003.0,64.2,36248,66.1,13699,81.9,96.4,41130.0,61.3,41124.0,69.5,39068.0,71.3,13981.0,83.6,C,12,12,12,12,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19417,2021-09-03,23003,35,Aroostook County,ME,56.5,37869,37867.0,64.0,36117,65.9,13690,81.9,96.4,40967.0,61.1,40961.0,69.2,38910.0,71.0,13972.0,83.6,C,12,12,12,12,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19418,2021-09-02,23003,35,Aroostook County,ME,56.3,37752,37750.0,63.8,36017,65.7,13677,81.8,96.4,40790.0,60.8,40784.0,68.9,38748.0,70.7,13951.0,83.5,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19419,2021-09-01,23003,35,Aroostook County,ME,56.1,37591,37589.0,63.5,35868,65.4,13656,81.7,96.4,40586.0,60.5,40580.0,68.6,38559.0,70.4,13929.0,83.3,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
19420,2021-08-31,23003,35,Aroostook County,ME,56.0,37544,37542.0,63.5,35828,65.4,13653,81.7,96.4,40507.0,60.4,40501.0,68.5,38493.0,70.2,13920.0,83.3,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,MAINE,"Aroostook County, Maine",0.5825,0.6189,0.2989,0.7542,0.5946
